36, 25, 2
26, 1, 5
43, 40, 5
55, 24, 4
4, 23, 1
46, 39, 3
33, 11, 4
59, 24, 5
45, 34, 5
42, 21, 2
24, 46, 5
54, 10, 4
29, 15, 4
1, 23, 5
46, 21, 4
59, 46, 4
31, 35, 3
48, 24, 2
9, 39, 3
45, 29, 1
28, 15, 3
44, 39, 1
32, 27, 2
27, 50, 1
24, 44, 5
40, 3, 4
34, 27, 2
4, 17, 2
13, 30, 4
12, 4, 1
27, 27, 1
5, 11, 5
40, 43, 1
8, 40, 4
42, 44, 3
8, 7, 2
57, 16, 3
47, 13, 1
19, 35, 5
26, 7, 5
10, 41, 2
40, 1, 4
38, 12, 2
35, 29, 2
31, 9, 1
56, 50, 3
32, 44, 5
59, 19, 3
20, 13, 5
35, 35, 3
9, 36, 5
37, 27, 2
11, 18, 5
7, 2, 5
23, 10, 4
44, 45, 2
53, 15, 4
15, 2, 5
12, 2, 1
37, 38, 5
13, 50, 1
26, 27, 3
16, 3, 4
19, 32, 1
59, 46, 5
